lab_test_id,serial_num,date_tested,date_physical_check,date_received,category,defect,results
1,AIS17BA0013XXX,15/11/2022,15/11/2022,15/11/2022,Meter Replacement Program,4. LEAKING AT ANY PART OF METER BODY,PASS
2,AIS17BA0025XXX,15/11/2022,15/11/2022,15/11/2022,Meter Replacement Program,3. LEAKING THROUGH INDICATING DEVICE & PULSE OUTPUT,FAIL
3,AIS17PA0052XXX,17/11/2022,17/11/2022,17/11/2022,Meter Replacement Program,9. METER NOT IN METER WARRANTY CATEGORY,FAIL
4,AIS17PB0037XXX,17/11/2022,17/11/2022,17/11/2022,Meter Replacement Program,8. METER STUCK,PASS
5,AIS17BA0049XXX,12/29/2022,12/29/2022,12/29/2022,Customer Complaint,9. METER NOT IN METER WARRANTY CATEGORY,FAIL
6,AIS17PA0035XXX,02/12/2022,02/12/2022,02/12/2022,Meter Replacement Program,9. METER NOT IN METER WARRANTY CATEGORY,PASS
7,AIS18PA0407XXX,11/01/2023,11/01/2023,11/01/2023,Meter Replacement Program,8. METER STUCK,FAIL
8,AIS18PA0415XXX,11/01/2023,11/01/2023,11/01/2023,Customer Complaint,9. METER NOT IN METER WARRANTY CATEGORY,PASS
9,AIS20PA0372XXX,17/01/2023,17/01/2023,17/01/2023,Customer Complaint,8. METER STUCK,FAIL
10,AIS20PA0372XXX,17/01/2023,17/01/2023,17/01/2023,Meter Replacement Program,9. METER NOT IN METER WARRANTY CATEGORY,PASS